English Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Apple(Fuji),Kg,190,200,195.0
Apple(Jholey),Kg,190,200,195.0
Arum,Kg,40,50,45.0
Asparagus,Kg,700,800,750.0
Bamboo Shoot,Kg,90,100,95.0
Banana,Doz,100,110,105.0
Bitter Gourd,Kg,60,70,65.0
Bottle Gourd,Kg,40,50,45.0
Brd Leaf Mustard,Kg,180,200,190.0
Brinjal Long,Kg,30,40,35.0
Brinjal Round,Kg,60,70,65.0
Brocauli,Kg,200,250,225.0
Cabbage(Local),Kg,35,45,40.0
Capsicum,Kg,100,120,110.0
Carrot(Local),Kg,140,160,150.0
Carrot(Terai),Kg,130,140,135.0
Cauli Local,Kg,90,100,95.0
Celery,Kg,400,450,425.0
Chilli Dry,Kg,300,320,310.0
Chilli Green,Kg,80,90,85.0
Chilli Green(Akbare),Kg,150,200,175.0
Chilli Green(Bullet),Kg,110,120,115.0
Chilli Green(Machhe),Kg,50,60,55.0
Christophine,Kg,10,15,12.5
Clive Dry,Kg,280,300,290.0
Clive Green,Kg,320,350,335.0
Coriander Green,Kg,400,500,450.0
Cow pea(Long),Kg,80,100,90.0
Cowpea(Short),Kg,100,110,105.0
Cress Leaf,Kg,280,300,290.0
Cucumber(Hybrid),Kg,20,30,25.0
Cucumber(Local),Kg,50,70,60.0
Drumstick,Kg,180,200,190.0
Fish Fresh(Bachuwa),Kg,225,235,230.0
Fish Fresh(Chhadi),Kg,220,230,225.0
Fish Fresh(Mungari),Kg,250,260,255.0
Fish Fresh(Rahu),Kg,270,280,275.0
French Bean(Hybrid),Kg,90,100,95.0
French Bean(Local),Kg,90,100,95.0
Garlic Dry Chinese,Kg,190,210,200.0
Garlic Dry Nepali,Kg,160,170,165.0
Garlic Green,Kg,350,400,375.0
Ginger,Kg,80,90,85.0
Guava,Kg,100,120,110.0
Gundruk,Kg,150,200,175.0
Kiwi,Kg,500,600,550.0
Lemon,Kg,50,60,55.0
Lettuce,Kg,300,350,325.0
Lime,Kg,150,160,155.0
Mombin,Kg,50,60,55.0
Mushroom(Button),Kg,400,450,425.0
Mushroom(Kanya),Kg,220,250,235.0
Mustard Leaf,Kg,80,90,85.0
Neuro,Kg,80,90,85.0
Okara,Kg,50,60,55.0
Onion Dry (Indian),Kg,42,45,43.5
Onion Green,Kg,180,200,190.0
Orange(Indian),Kg,120,130,125.0
Papaya(Indian),Kg,70,80,75.0
Pear(Chinese),Kg,190,200,195.0
Pear(Local),Kg,50,60,55.0
Pineapple,1 Pc,150,160,155.0
Pointed Gourd(Local),Kg,70,80,75.0
Pointed Gourd(Terai),Kg,70,80,75.0
Pomegranate,Kg,300,350,325.0
Potato Red,Kg,56,58,57.0
Potato Red(Indian),Kg,26,28,27.0
Potato Red(Mude),Kg,48,50,49.0
Potato White,Kg,41,42,41.5
Pumpkin,Kg,35,40,37.5
Raddish Red,Kg,40,50,45.0
Raddish White(Hybrid),Kg,25,30,27.5
Raddish White(Local),Kg,20,25,22.5
Red Cabbbage,Kg,350,400,375.0
Smooth Gourd,Kg,50,60,55.0
Snake Gourd,Kg,30,40,35.0
Soyabean Green,Kg,80,90,85.0
Spinach Leaf,Kg,250,300,275.0
Sponge Gourd,Kg,60,70,65.0
Squash(Round),Kg,40,50,45.0
Sugarbeet,Kg,90,100,95.0
Sweet Orange,Kg,120,130,125.0
Sword Bean,Kg,180,200,190.0
Tamarind,Kg,140,150,145.0
Tofu,Kg,90,100,95.0
Tomato Big(Indian),Kg,50,60,55.0
Tomato Small(Local),Kg,10,15,12.5
Tomato Small(Tunnel),Kg,15,20,17.5
Turnip,Kg,80,90,85.0
Turnip A,Kg,80,90,85.0
Water Melon(Green),Kg,40,50,45.0
