English Name,Nepali Name
Apple(Fuji),स्याउ(फूजी)
Arum,पिंडालू
Asparagus,कुरीलो
Bamboo Shoot,तामा
Banana,केरा
Bitter Gourd,तितो करेला
Bottle Gourd,लौका
Brd Leaf Mustard,रायो साग
Brinjal Long,भन्टा लाम्चो
Brinjal Round,भन्टा डल्लो
Brocauli,ब्रोकाउली
Cabbage(Local),बन्दा(लोकल)
Capsicum,भेडे खु्र्सानी
Carrot(Local),गाजर(लोकल)
Carrot(Terai),गाजर(तराई)
Cauli Local,काउली स्थानिय
Celery,सेलरी
Chilli Dry,खु्र्सानी सुकेको
Chilli Green,खु्र्सानी हरियो
Chilli Green(Akbare),खुर्सानी हरियो(अकबरे)
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट)
Chilli Green(Machhe),खुर्सानी हरियो(माछे)
Christophine,स्कूस
Clive Dry,छ्यापी सुकेको
Clive Green,छ्यापी हरियो
Coriander Green,हरियो धनिया
Cow pea(Long),बोडी(तने)
Cowpea(Short),मकै बोडी
Cress Leaf,चमसूरको साग
Cucumber(Hybrid),काक्रो(हाइब्रीड)
Cucumber(Local),काक्रो(लोकल)
Drumstick,सजिवन
Fish Fresh(Bachuwa),ताजा माछा(बचुवा)
Fish Fresh(Chhadi),ताजा माछा(छडी)
Fish Fresh(Mungari),ताजा माछा(मुंगरी)
Fish Fresh(Rahu),ताजा माछा(रहु)
French Bean(Hybrid),घिउ सिमी(हाइब्रीड)
French Bean(Local),घिउ सिमी(लोकल)
Garlic Dry Chinese,लसुन सुकेको चाइनिज
Garlic Dry Nepali,लसुन सुकेको नेपाली
Garlic Green,लसुन हरियो
Ginger,अदुवा
Guava,अम्बा
Gundruk,गुन्दुक
Kiwi,किवि
Lemon,निबुवा
Lettuce,जिरीको साग
Lime,कागती
Mombin,लप्सी
Mushroom(Button),च्याउ(डल्ले)
Mushroom(Kanya),च्याउ(कन्य)
Mustard Leaf,तोरीको साग
Neuro,न्यूरो
Okara,भिण्डी
Onion Dry (Indian),प्याज सुकेको (भारतीय)
Onion Green,प्याज हरियो
Orange(Indian),सुन्तला(भारतीय)
Papaya(Indian),मेवा(भारतीय)
Pear(Chinese),नासपाती(चाइनिज)
Pear(Local),नासपाती(लोकल)
Pineapple,भुई कटहर
Pointed Gourd(Local),परवर(लोकल)
Pointed Gourd(Terai),परवर(तराई)
Pomegranate,अनार
Potato Red,आलु रातो
Potato Red(Indian),आलु रातो(भारतीय)
Potato Red(Mude),आलु रातो(मुडे)
Potato White,आलु सेतो
Pumpkin,फर्सी पाकेको
Raddish Red,मूला रातो
Raddish White(Hybrid),सेतो मूला(हाइब्रीड)
Raddish White(Local),मूला सेतो(लोकल)
Red Cabbbage,रातो बन्दा
Smooth Gourd,घिरौला
Snake Gourd,लौका
Soyabean Green,भटमासकोशा
Spinach Leaf,पालूगो साग
Sponge Gourd,झिगूनी
Squash(Round),हरियो फर्सी(डल्लो)
Sugarbeet,चुकुन्दर
Sweet Orange,मौसम
Sword Bean,टाटे सिमी
Tamarind,इमली
Tofu,तोफु
Tomato Big(Indian),ठूलो गोलभेडा(भारतीय)
Tomato Small(Local),गोलभेडा सानो(लोकल)
Tomato Small(Tunnel),गोलभेडा सानो(टनेल)
Turnip A,गान्टे मूला
Water Melon(Green),तरबुजा(हरियो)
Apple(Jholey),स्याउ(झोले)
Squash(Long),फर्सी हरियो(लाम्चो)
Turnip,सलगम
Sweet Potato,सखरखण्ड
Jack Fruit,रुख कटहर
Barela,बरेला
Fennel Leaf,सौफको साग
Fenugreek Leaf,मेथीको साग
Papaya(Nepali),मेवा(नेपाली)
French Bean(Rajma),घिउ सिमी(राजमा)
Green Peas,मटरकोशा
Mint,पुदीना
Tomato Big(Nepali),गोलभेडा ठूलो(नेपाली)
Tomato Small(Indian),गोलभेडा सानो(भारतीय)
Amla,अमला
Bakula,बकूला
Avocado,आभोकाडो
Cabbage,बन्दा(नरिवल)
Cauli Local(Jyapu),स्थानीय काउली(ज्यापु)
Yam,तरुल
Grapes(Black),अंगुर(कालो)
Grapes(Green),अंगुर(हरियो)
Kinnow,किनु
Knolkhol,ग्याठ कोबी
Sugarcane,उखु
Orange(Nepali),सुन्तला(नेपाली)
Parseley,पार्सले
Strawberry,स्ट्रबेरी भुईऐसेलु
Tomato Small(Terai),गोलभेडा सानो(तराई)
Mandarin,जुनार
Cabbage(Terai),बन्दा(तराई)
Cauli Terai,काउली तराई
